timestamp_sec,timestamp_nanosec,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
26,255000000,-1.2448128991395335e-19,2.2319486104806603e-20,2.507481255539612e-09,1.0,-9.707162266905299e-18,1.7368634408607493e-18,-1.1487376976700881e-27,-9.398258241324326e-20,-5.252568580483327e-19,8.90909090909091
26,265000000,-1.673309767076085e-19,2.998635691540747e-20,2.507481255539612e-09,1.0,-9.373335229441173e-18,1.6771128406243085e-18,-1.1282250677000038e-27,-9.231991320233587e-20,-5.159714139400244e-19,10.88888888888889
26,275000000,-2.1311004508615477e-19,3.817724766260932e-20,2.507481255539612e-09,1.0,-8.983627902138263e-18,1.6073599508063132e-18,-1.1058625675438952e-27,-7.969464975659238e-20,-4.454162729381324e-19,9.8
26,285000000,-2.569016780412366e-19,4.6012416350915935e-20,2.507481255539612e-09,1.0,-8.581886644626652e-18,1.5354547433880776e-18,-1.0839433135339227e-27,-7.61926427169395e-20,-4.2585032980475853e-19,9.8
26,295000000,-2.986499355729588e-19,5.348185829983112e-20,2.507481255539612e-09,1.0,-8.16956302065967e-18,1.4616569764581004e-18,-1.0624585201074386e-27,-7.259467312386617e-20,-4.05747816630867e-19,9.8
26,305000000,-3.3830609732633295e-19,6.057686077877254e-20,2.507481255539612e-09,1.0,-7.748091959452559e-18,1.3862234282310413e-18,-1.041399575840053e-27,-6.89133746117486e-20,-3.8517933253981825e-19,9.8
26,315000000,-3.7582856935571604e-19,6.728998630723512e-20,2.507481255539612e-09,1.0,-7.31888842138574e-18,1.309407300478569e-18,-1.0207580399940442e-27,-6.516121249251384e-20,-3.6421453687887735e-19,9.8
26,325000000,-4.1118277465933244e-19,7.361505305114245e-20,2.507481255539612e-09,1.0,-6.883344220713251e-18,1.2314576500611779e-18,-1.0005256391351877e-27,-6.135045552920716e-20,-3.4292199145479826e-19,9.8
26,335000000,-4.475300844205681e-19,8.01176305921386e-20,2.507481255539612e-09,1.0,-6.44282500893196e-18,1.15261884921472e-18,-9.806942638166402e-28,-6.867530469713921e-20,-3.838745109177495e-19,9.8
26,345000000,-4.752823977930512e-19,8.508242427691551e-20,2.507481255539612e-09,1.0,-5.998667421922854e-18,1.0731300751479573e-18,-9.612559653285527e-28,-5.360108986827187e-20,-2.996215192981915e-19,9.8
